OID_,BBNA_code,date_added,data_source,Institution,dataset_notes_1,data_restrictions_1,data_restrictions_2,subgenus,genus,species,sex,caste,det_as,det_by,date,month,day,year,dayno,observers,code_1,code_2,code_3,code_4,code_5,continent_verbatim,continent,country_verbatim,country,county_verbatim,state_prov,county,location,site,latitude,longitude,coordinates,coordinates_X,coordinates_Y,elev_m_ETOPO1,geo_notes_1,geo_notes_2,doi,link,notes_1,notes_2,notes_3,notes_4,notes_5,plant_host_genus,plant_host_notes,plant_host_species,plant_host_verbatim
1,BBNA_882,,McGill University,Lyman Entomological Collection--McGill University,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,,7/11/1918 0:00:00,7,11,1918,192,P.W. Fattig,5674,,,,,North America,North America,USA,USA,,Florida,,Gainesville,,29.651634000000001,-82.324826000000002,"29.652, -82.325",-82.325000000000003,29.652000000000001,38,,,,,,,,,,,,,
2,BBNA_883,,McGill University,Lyman Entomological Collection--McGill University,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,,9/16/1918 0:00:00,9,16,1918,259,P.W. Fattig,5673,,,,,North America,North America,USA,USA,,Florida,,Gainesville,,29.651634000000001,-82.324826000000002,"29.652, -82.325",-82.325000000000003,29.652000000000001,38,,,,,,,,,,,,,
3,BBNA_884,,McGill University,Lyman Entomological Collection--McGill University,,,,Cullumanobombus,Bombus,fraternus,Male,Male,,,8/23/1918 0:00:00,8,23,1918,235,P.W. Fattig,5672,,,,,North America,North America,USA,USA,,Florida,,Gainesville,,29.651634000000001,-82.324826000000002,"29.652, -82.325",-82.325000000000003,29.652000000000001,38,,,,,,,,,,,,,
4,BBNA_1662,,Sheila Colla,,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,S.R.Colla,7/15/1985 0:00:00,7,15,1985,196,G.E. Snyder,2000,,,,,North America,North America,USA,USA,Lee,Alabama,Lee,Auburn,,32.609856999999998,-85.480782000000005,"32.61, -85.481",-85.480999999999995,32.609999999999999,220,,,,,SRC,,,,,Lespedeza,,,Lespedeza 
5,BBNA_1717,,Cory Sheffield BOLD,York University,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Sheila Colla,3/29/2006 0:00:00,3,29,2006,88,"E. Willis, SR Colla",CCDB-06704 B04,,,,,North America,North America,USA,USA,,Georgia,,,Laura Walker Nature Reserve,31.540000899999999,-84.315002399999997,"31.54, -84.315",-84.314999999999998,31.539999999999999,64,,,,,York University,,,,,,,,
6,BBNA_4166,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,,,,H.E. Milliron,,9,,1902,,JC Bridwell,,,,,,North America,North America,USA,USA,,,,Griffin,,33.240000000000002,-84.260000000000005,"33.24, -84.26",-84.260000000000005,33.240000000000002,283,LLR: georef,,,,,No day of month specified by Milliron,,,georef by LLR,,,,
7,BBNA_4212,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,4/2/1915 0:00:00,4,2,1915,92,L Kleban,,,,,,North America,North America,USA,USA,,,,,Agricultural College,32.350000000000001,-89.400000000000006,"32.35, -89.4",-89.400000000000006,32.350000000000001,144,LLR: georef,,,,,,,,georef by LLR,,,,
8,BBNA_4246,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,4/3/1928 0:00:00,4,3,1928,94,,,,,,,North America,North America,USA,USA,,,,Orlando,,28.539999999999999,-81.379999999999995,"28.54, -81.38",-81.379999999999995,28.539999999999999,36,LLR: georef,,,,,,,,georef by LLR,,,,
9,BBNA_4367,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Male,Male,,H.E. Milliron,9/8/1909 0:00:00,9,8,1909,251,,,,,,,North America,North America,USA,USA,,,,Saint Simon's Island,,31.149999999999999,-81.370000000000005,"31.15, -81.37",-81.370000000000005,31.149999999999999,0,LLR: georef,,,,holotype,,,,georef by LLR,,,,
10,BBNA_4371,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,H.E. Milliron,9/8/1931 0:00:00,9,8,1931,251,Bradley and Knorr,,,,,,North America,North America,USA,USA,Saint John,,Saint John,Vilano Beach,,29.940000000000001,-81.299999999999997,"29.94, -81.3",-81.299999999999997,29.940000000000001,-2,LLR: georef,,,,,,,,georef by LLR,,,,
11,BBNA_4385,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,,,,H.E. Milliron,8/9/1931 0:00:00,8,9,1931,221,Bradley and Knorr,,,,,,North America,North America,USA,USA,Decatur,,Decatur,Spring Creek,,30.859999999999999,-84.579999999999998,"30.86, -84.58",-84.579999999999998,30.859999999999999,44,LLR: georef,,,,,,,,georef by LLR,,,,
12,BBNA_4404,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Male,Male,,H.E. Milliron,9/10/1931 0:00:00,9,10,1931,253,Bradley and Knorr,,,,,,North America,North America,USA,USA,,,,Darien,,31.370000000000001,-81.430000000000007,"31.37, -81.43",-81.430000000000007,31.370000000000001,-5,LLR: georef,,,,,,,,georef by LLR,,,,
13,BBNA_4427,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,5/11/1940 0:00:00,5,11,1940,132,H. Knutson,,,,,,North America,North America,USA,USA,Dallas,,Dallas,,,32.799999999999997,-96.769999999999996,"32.8, -96.77",-96.769999999999996,32.799999999999997,157,LLR: georef,,,,,,,,georef by LLR,,,,
14,BBNA_4457,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,H.E. Milliron,8/12/1931 0:00:00,8,12,1931,224,Bradley and Knorr,,,,,,North America,North America,USA,USA,Decatur,,Decatur,Butler's Ferry,,30.910000000000000,-84.620000000000005,"30.91, -84.62",-84.620000000000005,30.910000000000000,39,LLR: georef,,,,,,,,georef by LLR,,,,
15,BBNA_4508,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,5/14/1906 0:00:00,5,14,1906,134,HEM,,,,,,North America,North America,USA,USA,,,,Fargo,,46.880000000000003,-96.790000000000006,"46.88, -96.79",-96.790000000000006,46.880000000000003,275,LLR: georef,,,,,,,,georef by LLR,,,,
16,BBNA_4513,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,H.E. Milliron,8/14/1931 0:00:00,8,14,1931,226,Bradley and Knorr,,,,,,North America,North America,USA,USA,,,,Wewahitchka,,30.109999999999999,-85.200000000000003,"30.11, -85.2",-85.200000000000003,30.109999999999999,19,LLR: georef,,,,,,,,georef by LLR,,,,
17,BBNA_4532,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,H.E. Milliron,9/15/1904 0:00:00,9,15,1904,259,,,,,,,North America,North America,USA,USA,,,,Hammonton,,39.640000000000001,-74.799999999999997,"39.64, -74.8",-74.799999999999997,39.640000000000001,32,LLR: georef,,,,,,,,georef by LLR,,,,
18,BBNA_4628,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,4/19/1928 0:00:00,4,19,1928,110,PW Fattig,,,,,,North America,North America,USA,USA,,,,Monticello,,31.829999999999998,-85.780000000000001,"31.83, -85.78",-85.780000000000001,31.829999999999998,155,LLR: georef,,,,holotype,,,,georef by LLR,,,,
19,BBNA_4646,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,4/20/1914 0:00:00,4,20,1914,110,HT Powers,,,,,,North America,North America,USA,USA,,,,Starkwolls,,33.450000000000003,-88.819999999999993,"33.45, -88.82",-88.819999999999993,33.450000000000003,108,LLR: georef,,,,I mapped this to Starkville,,,,georef by LLR,,,,
20,BBNA_4689,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,9/22/1904 0:00:00,9,22,1904,266,J. MacFarland,,,,,,North America,North America,USA,USA,,,,Hammonton,,39.640000000000001,-74.799999999999997,"39.64, -74.8",-74.799999999999997,39.640000000000001,32,LLR: georef,,,,,,,,georef by LLR,,,,
21,BBNA_4713,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,4/23/1914 0:00:00,4,23,1914,113,HH Hume,,,,,,North America,North America,USA,USA,,,,Glen Saint Mary,,30.280000000000001,-82.159999999999997,"30.28, -82.16",-82.159999999999997,30.280000000000001,38,LLR: georef,,,,,,,,georef by LLR,Diospyros,,kaki,Diospyros kaki
22,BBNA_4716,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,H.E. Milliron,8/23/1929 0:00:00,8,23,1929,235,HCS,,,,,,North America,North America,USA,USA,,South Dakota,,Grass Rope,,43.851999999999997,-99.569999999999993,"43.852, -99.57",-99.569999999999993,43.851999999999997,546,LLR: georef,,,,,,,,georef by LLR,,,,
23,BBNA_4741,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,H.E. Milliron,7/24/1923 0:00:00,7,24,1923,205,JCB,,,,,,North America,North America,USA,USA,,,,Warren Grove,,39.750000000000000,-74.370000000000005,"39.75, -74.37",-74.370000000000005,39.750000000000000,37,LLR: georef,,,,,,,,georef by LLR,,,,
24,BBNA_4820,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,10/27/1943 0:00:00,10,27,1943,300,AB Klots,,,,,,North America,North America,USA,USA,,,,Maxton,,34.740000000000002,-79.349999999999994,"34.74, -79.35",-79.349999999999994,34.740000000000002,62,LLR: georef,,,,,,,,georef by LLR,,,,
25,BBNA_4826,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,7/27/1953 0:00:00,7,27,1953,208,"E, L, &Y",,,,,,North America,North America,USA,USA,,,,Llano,"Llano River, 11 mi e of L",30.699999999999999,-98.500000000000000,"30.7, -98.5",-98.500000000000000,30.699999999999999,278,LLR: georef,,,,,,,,georef by LLR,,,,
26,BBNA_4831,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,H.E. Milliron,6/28/1918 0:00:00,6,28,1918,179,PWF,,,,,,North America,North America,USA,USA,,,,Gainesville,,29.649999999999999,-82.319999999999993,"29.65, -82.32",-82.319999999999993,29.649999999999999,38,LLR: georef,,,,,,,,georef by LLR,,,,
27,BBNA_4845,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,H.E. Milliron,8/28/1962 0:00:00,8,28,1962,240,P. Spangler,,,,,,North America,North America,USA,USA,,Nebraska,,Oglalla,9 mi n of O,41.259999999999998,-101.719999999999999,"41.26, -101.72",-101.719999999999999,41.259999999999998,1029,LLR: georef,,,,,,,,georef by LLR,Helianthus,,,Helianthus
28,BBNA_4869,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,6/30/1921 0:00:00,6,30,1921,181,,,,,,,North America,North America,USA,USA,,,,Culbertson,,40.229999999999997,-100.840000000000003,"40.23, -100.84",-100.840000000000003,40.229999999999997,799,LLR: georef,,,,,,,,georef by LLR,,,,
29,BBNA_4890,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,,,,H.E. Milliron,8/30/1960 0:00:00,8,30,1960,243,,,,,,,North America,North America,USA,USA,Geary,,Geary,,,39.000000000000000,-96.790000000000006,"39, -96.79",-96.790000000000006,39.000000000000000,390,LLR: georef,,,,,,,,georef by LLR,,,,
30,BBNA_4891,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,,,,H.E. Milliron,8/30/1960 0:00:00,8,30,1960,243,R&KD,,,,,,North America,North America,USA,USA,Wabaunsee,,Wabaunsee,,,39.149999999999999,-96.349999999999994,"39.15, -96.35",-96.349999999999994,39.149999999999999,309,LLR: georef,,,,,,,,georef by LLR,,,,
31,BBNA_4916,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,H.E. Milliron,,,,,,,,,,,,North America,North America,USA,USA,,,,,,32.320000000000000,-86.900000000000006,"32.32, -86.9",-86.900000000000006,32.320000000000000,63,LLR: georef,,,,""1909"",,,,georef by LLR,,,,
32,BBNA_4919,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,,,,,,FA Eddy,,,,,,North America,North America,USA,USA,,,,Altamont,,28.670000000000002,-81.370000000000005,"28.67, -81.37",-81.370000000000005,28.670000000000002,30,LLR: georef,,,,"mapped to Altamonte Springs, FL",,,,georef by LLR,,,,
33,BBNA_4925,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,,,,,,,,,,,,North America,North America,USA,USA,,,,,,32.159999999999997,-82.909999999999997,"32.16, -82.91",-82.909999999999997,32.159999999999997,75,LLR: georef,,,,no data,,,,georef by LLR,,,,
34,BBNA_4929,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,,,,H.E. Milliron,,,,,,Bridwell,,,,,,North America,North America,USA,USA,,,,Baldwin,,38.780000000000001,-95.189999999999998,"38.78, -95.19",-95.189999999999998,38.780000000000001,325,LLR: georef,,,,,,,,georef by LLR,,,,
35,BBNA_4953,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,,,,,,L. Hopkins,,,,,,North America,North America,USA,USA,,,,Stillwater,,36.119999999999997,-97.060000000000002,"36.12, -97.06",-97.060000000000002,36.119999999999997,278,LLR: georef,,,,""1948"",,,,georef by LLR,,,,
36,BBNA_9229,,P.H. Williams,P.H. Williams research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,P.H. Williams,5/30/2008 0:00:00,5,30,2008,151,P.H. Williams,,,,,,North America,North America,USA,USA,,South Carolina,,,allotments,32.243789999999997,-80.734059999999999,"32.244, -80.734",-80.733999999999995,32.244000000000000,7,,,,,,P.H. Williams,,,,,,,
37,BBNA_9236,,P.H. Williams,P.H. Williams research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,P.H. Williams,5/31/2008 0:00:00,5,31,2008,152,P.H. Williams,,,,,,North America,North America,USA,USA,,South Carolina,,,garden center,32.272550000000003,-80.867990000000006,"32.273, -80.868",-80.867999999999995,32.273000000000003,13,,,,,,P.H. Williams,,,,,,,
38,BBNA_9245,,P.H. Williams,P.H. Williams research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,P.H. Williams,5/28/2008 0:00:00,5,28,2008,149,P.H. Williams,,,,,,North America,North America,USA,USA,,South Carolina,,,entrance garden,32.306150000000002,-81.018180000000001,"32.306, -81.018",-81.018000000000001,32.305999999999997,11,,,,,,P.H. Williams,,,,,,,
39,BBNA_9246,,P.H. Williams,P.H. Williams research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,P.H. Williams,5/31/2008 0:00:00,5,31,2008,152,P.H. Williams,,,,,,North America,North America,USA,USA,,South Carolina,,,entrance garden,32.306150000000002,-81.018180000000001,"32.306, -81.018",-81.018000000000001,32.305999999999997,11,,,,,,P.H. Williams,,,,,,,
40,BBNA_74572,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,8/1/1999 0:00:00,8,1,1999,213,Doug Golick,835,,,,,North America,North America,USA,USA,Hitchcock,Nebraska,Hitchcock,Hwy 34 Near Swanson Res,,40.146999999999998,-101.119000000000000,"40.147, -101.119",-101.119000000000000,40.146999999999998,841,LLR: georef,,,,,,,,georeferenced by LLR,Melilotus,,albus,Melilotus alba
41,BBNA_74573,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,8/1/1999 0:00:00,8,1,1999,213,Doug Golick,836,,,,,North America,North America,USA,USA,Hitchcock,Nebraska,Hitchcock,Hwy 34 Near Swanson Res,,40.146999999999998,-101.119000000000000,"40.147, -101.119",-101.119000000000000,40.146999999999998,841,LLR: georef,,,,,,,,georeferenced by LLR,Melilotus,,albus,Melilotus alba
42,BBNA_74580,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,8/3/1999 0:00:00,8,3,1999,215,Doug Golick,834,,,,,North America,North America,USA,USA,Thayer,Nebraska,Thayer,1mi E. Hebron,,40.165999999999997,-96.552999999999997,"40.166, -96.553",-96.552999999999997,40.165999999999997,425,LLR: georef,,,,,,,,georeferenced by LLR,Chamaecrista,,fasciculata,Cassia chamaecrista
43,BBNA_74789,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,7/7/1999 0:00:00,7,7,1999,188,Doug Golick,568,,,,,North America,North America,USA,USA,Lancaster,Nebraska,Lancaster,nil,,40.819000000000003,-96.680999999999997,"40.819, -96.681",-96.680999999999997,40.819000000000003,360,LLR: georef,,,,,,,,georeferenced by LLR,,,,nil
44,BBNA_74914,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,7/7/2000 0:00:00,7,7,2000,189,Doug Golick,1057,,,,,North America,North America,USA,USA,Lancaster,Nebraska,Lancaster,UNL East Campus,,40.819000000000003,-96.680999999999997,"40.819, -96.681",-96.680999999999997,40.819000000000003,360,LLR: georef,,,,,,,,georeferenced by LLR,Trifolium,,pratense,Trifolium pratense
45,BBNA_74915,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Male,Male,,Doug Golick,8/8/2000 0:00:00,8,8,2000,221,Doug Golick,1033,,,,,North America,North America,USA,USA,Lancaster,Nebraska,Lancaster,UNL East Campus,,40.819000000000003,-96.680999999999997,"40.819, -96.681",-96.680999999999997,40.819000000000003,360,LLR: georef,,,,,,,,georeferenced by LLR,Trifolium,,,Trifolium sp.
46,BBNA_75298,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Male,Male,,Doug Golick,11/1/2001 0:00:00,11,1,2001,305,B. Uden,644,,,,,North America,North America,USA,USA,Dawson,Nebraska,Dawson,nil,,41.039999999999999,-96.373000000000005,"41.04, -96.373",-96.373000000000005,41.039999999999999,338,LLR: georef,,,,Ashland Greenwood,,,,georeferenced by LLR,,,,nil
47,BBNA_75299,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Male,Male,,Doug Golick,7/25/2001 0:00:00,7,25,2001,206,B. Uden,645,,,,,North America,North America,USA,USA,Dawson,Nebraska,Dawson,nil,,41.039999999999999,-96.373000000000005,"41.04, -96.373",-96.373000000000005,41.039999999999999,338,LLR: georef,,,,Ashland Greenwood,,,,georeferenced by LLR,,,,nil
48,BBNA_75300,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Male,Male,,Doug Golick,8/1/2001 0:00:00,8,1,2001,213,J. Hird,648,,,,,North America,North America,USA,USA,Dawson,Nebraska,Dawson,nil,,41.039999999999999,-96.373000000000005,"41.04, -96.373",-96.373000000000005,41.039999999999999,338,LLR: georef,,,,Ashland Greenwood,,,,georeferenced by LLR,,,,nil
49,BBNA_75301,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Male,Male,,Doug Golick,7/25/2001 0:00:00,7,25,2001,206,E. Nanson,652,,,,,North America,North America,USA,USA,Dawson,Nebraska,Dawson,nil,,41.039999999999999,-96.373000000000005,"41.04, -96.373",-96.373000000000005,41.039999999999999,338,LLR: georef,,,,Ashland Greenwood,,,,georeferenced by LLR,,,,nil
50,BBNA_75400,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,5/17/2000 0:00:00,5,17,2000,138,,65,,,,,North America,North America,USA,USA,Douglas,Nebraska,Douglas,V.J. Skutt High School,VJ Skutt,41.229999999999997,-96.153999999999996,"41.23, -96.154",-96.153999999999996,41.229999999999997,342,LLR: georef,,,,,,,,georeferenced by LLR,,,,nil
51,BBNA_75410,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,8/28/1999 0:00:00,8,28,1999,240,,27,,,,,North America,North America,USA,USA,Dodge,Nebraska,Dodge,nil,North Bend,41.463999999999999,-96.781000000000006,"41.464, -96.781",-96.781000000000006,41.463999999999999,388,LLR: georef,,,,,,,,georeferenced by LLR,,,,nil
52,BBNA_75411,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,8/26/1999 0:00:00,8,26,1999,238,,49,,,,,North America,North America,USA,USA,Dodge,Nebraska,Dodge,nil,North Bend,41.463999999999999,-96.781000000000006,"41.464, -96.781",-96.781000000000006,41.463999999999999,388,LLR: georef,,,,,,,,georeferenced by LLR,,,,nil
53,BBNA_75548,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,7/30/2001 0:00:00,7,30,2001,211,D. Hitchler,1420,,,,,North America,North America,USA,USA,Greely,Nebraska,Greely,W of Boone County,,41.582999999999998,-98.310000000000002,"41.583, -98.31",-98.310000000000002,41.582999999999998,621,LLR: georef,,,,Polla Hartley and Spalding Academy,,,,georeferenced by LLR,Carduus,,nutans,Carduus nutans
54,BBNA_75549,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,7/30/2001 0:00:00,7,30,2001,211,D. Hitchler,1424,,,,,North America,North America,USA,USA,Greely,Nebraska,Greely,W of Boone County,,41.582999999999998,-98.310000000000002,"41.583, -98.31",-98.310000000000002,41.582999999999998,621,LLR: georef,,,,Polla Hartley and Spalding Academy,,,,georeferenced by LLR,Carduus,,nutans,Carduus nutans
55,BBNA_75558,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,6/15/2001 0:00:00,6,15,2001,166,Kyle G.,1043,,,,,North America,North America,USA,USA,Boone,Nebraska,Boone,5mi S Albion,,41.616000000000000,-97.998000000000005,"41.616, -97.998",-97.998000000000005,41.616000000000000,574,LLR: georef,,,,Albion Schools,,,,georeferenced by LLR,Rosa,,arkansana,Rosa arkansana
56,BBNA_75962,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,8/15/2000 0:00:00,8,15,2000,228,T. Hulse,201,,,,,North America,North America,USA,USA,Boone,Nebraska,Boone,,,41.746000000000002,-98.072000000000003,"41.746, -98.072",-98.072000000000003,41.746000000000002,572,LLR: georef,,,,Albion HS,,,,georeferenced by LLR,,,,
57,BBNA_75963,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Male,Male,,Doug Golick,9/1/2000 0:00:00,9,1,2000,245,D. Porter,232,,,,,North America,North America,USA,USA,Boone,Nebraska,Boone,,,41.746000000000002,-98.072000000000003,"41.746, -98.072",-98.072000000000003,41.746000000000002,572,LLR: georef,,,,Albion HS,,,,georeferenced by LLR,,,,
58,BBNA_76281,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,7/2/2001 0:00:00,7,2,2001,183,D. Porter,636,,,,,North America,North America,USA,USA,Garfield,Nebraska,Garfield,nil,,41.968000000000004,-98.924999999999997,"41.968, -98.925",-98.924999999999997,41.968000000000004,677,LLR: georef,,,,Albion HS,,,,georeferenced by LLR,Vicia,,,Viccia sp.
59,BBNA_76526,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,8/4/2000 0:00:00,8,4,2000,217,Doug Golick,1474,,,,,North America,North America,USA,USA,Box Butte,Nebraska,Box Butte,1 Mi. N. of Berea,,42.228000000000002,-102.983999999999995,"42.228, -102.984",-102.983999999999995,42.228000000000002,1261,LLR: georef,,,,,,,,georeferenced by LLR,Melilotus,,albus,Melilotus alba
60,BBNA_76527,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,8/4/2000 0:00:00,8,4,2000,217,Doug Golick,1481,,,,,North America,North America,USA,USA,Box Butte,Nebraska,Box Butte,1 Mi. N. of Berea,,42.228000000000002,-102.983999999999995,"42.228, -102.984",-102.983999999999995,42.228000000000002,1261,LLR: georef,,,,,,,,georeferenced by LLR,Melilotus,,albus,Melilotus alba
61,BBNA_76528,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,8/4/2000 0:00:00,8,4,2000,217,Doug Golick,1485,,,,,North America,North America,USA,USA,Box Butte,Nebraska,Box Butte,1 Mi. N. of Berea,,42.228000000000002,-102.983999999999995,"42.228, -102.984",-102.983999999999995,42.228000000000002,1261,LLR: georef,,,,,,,,georeferenced by LLR,Melilotus,,albus,Melilotus alba
62,BBNA_76529,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,8/4/2000 0:00:00,8,4,2000,217,Doug Golick,1495,,,,,North America,North America,USA,USA,Box Butte,Nebraska,Box Butte,1 Mi. N. of Berea,,42.228000000000002,-102.983999999999995,"42.228, -102.984",-102.983999999999995,42.228000000000002,1261,LLR: georef,,,,,,,,georeferenced by LLR,Melilotus,,albus,Melilotus alba
63,BBNA_76530,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,8/4/2000 0:00:00,8,4,2000,217,Doug Golick,1504,,,,,North America,North America,USA,USA,Box Butte,Nebraska,Box Butte,1 Mi. N. of Berea,,42.228000000000002,-102.983999999999995,"42.228, -102.984",-102.983999999999995,42.228000000000002,1261,LLR: georef,,,,,,,,georeferenced by LLR,Melilotus,,albus,Melilotus alba
64,BBNA_76531,,Nebraska Bumbleboosters,U Nebraska/ D. Golick research collection,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Doug Golick,8/4/2000 0:00:00,8,4,2000,217,Doug Golick,1505,,,,,North America,North America,USA,USA,Box Butte,Nebraska,Box Butte,1 Mi. N. of Berea,,42.228000000000002,-102.983999999999995,"42.228, -102.984",-102.983999999999995,42.228000000000002,1261,LLR: georef,,,,,,,,georeferenced by LLR,Melilotus,,albus,Melilotus alba
